,,,,,,
당진자재창고,,KPX,,RTU,,
date,device_id,순방향,역방향,usage,차이,usage / 1000 * 720
2020-05-25 7:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,2400,0,6007,-3607,4325.04
2020-05-25 7:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3216,0,6992,-3776,5034.24
2020-05-25 7:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,2592,0,3011,-419,2167.92
2020-05-25 7:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1968,0,6926,-4958,4986.72
2020-05-25 7:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3120,0,6067,-2947,4368.24
2020-05-25 7:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3456,0,8004,-4548,5762.88
2020-05-25 7:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4080,0,9992,-5912,7194.24
2020-05-25 7:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4800,0,9940,-5140,7156.8
2020-05-25 7:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4464,0,8991,-4527,6473.52
2020-05-25 7:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4368,0,10002,-5634,7201.44
2020-05-25 8:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4608,0,9012,-4404,6488.64
2020-05-25 8:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4656,0,9050,-4394,6516
2020-05-25 8:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4272,0,8005,-3733,5763.6
2020-05-25 8:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3840,0,8924,-5084,6425.28
2020-05-25 8:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3936,0,7077,-3141,5095.44
2020-05-25 8:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3456,0,7000,-3544,5040
2020-05-25 8:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3456,0,7923,-4467,5704.56
2020-05-25 8:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4080,0,10019,-5939,7213.68
2020-05-25 8:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4752,0,8990,-4238,6472.8
2020-05-25 8:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4176,0,9933,-5757,7151.76
2020-05-25 8:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4800,0,11007,-6207,7925.04
2020-05-25 8:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,5472,0,11046,-5574,7953.12
2020-05-25 9:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,5568,0,14924,-9356,10745.28
2020-05-25 9:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,7920,0,18960,-11040,13651.2
2020-05-25 9:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,9120,0,19989,-10869,14392.08
2020-05-25 9:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10224,0,22897,-12673,16485.84
2020-05-25 9:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10704,0,23025,-12321,16578
2020-05-25 9:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10848,0,19149,-8301,13787.28
2020-05-25 9:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,8928,0,18913,-9985,13617.36
2020-05-25 9:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,9024,0,18063,-9039,13005.36
2020-05-25 9:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,8784,0,20851,-12067,15012.72
2020-05-25 9:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10800,0,28865,-18065,20782.8
2020-05-25 9:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14688,0,31122,-16434,22407.84
2020-05-25 9:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14736,0,30976,-16240,22302.72
2020-05-25 10:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15312,0,33897,-18585,24405.84
2020-05-25 10:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16224,0,35888,-19664,25839.36
2020-05-25 10:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17712,0,40083,-22371,28859.76
2020-05-25 10:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,19680,0,42998,-23318,30958.56
2020-05-25 10:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20832,0,45830,-24998,32997.6
2020-05-25 10:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,23136,0,61624,-38488,44369.28
2020-05-25 10:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,30864,0,62106,-31242,44716.32
2020-05-25 10:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,29184,0,44475,-15291,32022
2020-05-25 10:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18192,0,35935,-17743,25873.2
2020-05-25 10:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17808,0,35105,-17297,25275.6
2020-05-25 10:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15840,0,28120,-12280,20246.4
2020-05-25 10:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,13392,0,27016,-13624,19451.52
2020-05-25 11:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12864,0,25022,-12158,18015.84
2020-05-25 11:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,11760,0,23960,-12200,17251.2
2020-05-25 11:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,11328,0,23997,-12669,17277.84
2020-05-25 11:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12144,0,29905,-17761,21531.6
2020-05-25 11:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14928,0,31033,-16105,22343.76
2020-05-25 11:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14352,0,27983,-13631,20147.76
2020-05-25 11:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,13056,0,25999,-12943,18719.28
2020-05-25 11:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12480,0,26107,-13627,18797.04
2020-05-25 11:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12240,0,24885,-12645,17917.2
2020-05-25 11:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12240,0,25077,-12837,18055.44
2020-05-25 11:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,11952,0,26000,-14048,18720
2020-05-25 11:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12288,0,22082,-9794,15899.04
2020-05-25 12:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10992,0,26879,-15887,19352.88
2020-05-25 12:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12384,0,25087,-12703,18062.64
2020-05-25 12:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12960,0,29866,-16906,21503.52
2020-05-25 12:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14640,0,37722,-23082,27159.84
2020-05-25 12:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18816,0,38241,-19425,27533.52
2020-05-25 12:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18288,0,37028,-18740,26660.16
2020-05-25 12:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17712,0,38929,-21217,28028.88
2020-05-25 12:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,19056,0,40976,-21920,29502.72
2020-05-25 12:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,19776,0,38075,-18299,27414
2020-05-25 12:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17904,0,37955,-20051,27327.6
2020-05-25 12:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18000,0,37954,-19954,27326.88
2020-05-25 12:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18912,0,43906,-24994,31612.32
2020-05-25 13:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,21408,0,46047,-24639,33153.84
2020-05-25 13:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22464,0,47976,-25512,34542.72
2020-05-25 13:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22992,0,19656,3336,14152.32
2020-05-25 13:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20976,0,70344,-49368,50647.68
2020-05-25 13:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22272,0,47872,-25600,34467.84
2020-05-25 13:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,23040,0,47126,-24086,33930.72
2020-05-25 13:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,21984,0,42946,-20962,30921.12
2020-05-25 13:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,21072,0,47025,-25953,33858
2020-05-25 13:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22416,0,44128,-21712,31772.16
2020-05-25 13:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20544,0,41979,-21435,30224.88
2020-05-25 13:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20736,0,46851,-26115,33732.72
2020-05-25 13:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,23136,0,52955,-29819,38127.6
2020-05-25 14:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,25440,0,52045,-26605,37472.4
2020-05-25 14:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,24624,0,49147,-24523,35385.84
2020-05-25 14:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,23136,0,47856,-24720,34456.32
2020-05-25 14:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22560,0,42081,-19521,30298.32
2020-05-25 14:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20304,0,37234,-16930,26808.48
2020-05-25 14:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17136,0,36811,-19675,26503.92
2020-05-25 14:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18000,0,36173,-18173,26044.56
2020-05-25 14:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16992,0,34918,-17926,25140.96
2020-05-25 14:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16512,0,35984,-19472,25908.48
2020-05-25 14:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17184,0,34990,-17806,25192.8
2020-05-25 14:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17184,0,33993,-16809,24474.96
2020-05-25 14:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15648,0,26542,-10894,19110.24
2020-05-25 15:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16368,0,27488,-11120,19791.36
2020-05-25 15:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16944,0,36959,-20015,26610.48
2020-05-25 15:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18432,0,46798,-28366,33694.56
2020-05-25 15:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,23040,0,44123,-21083,31768.56
2020-05-25 15:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20880,0,46968,-26088,33816.96
2020-05-25 15:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,22704,0,40173,-17469,28924.56
2020-05-25 15:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18864,0,41836,-22972,30121.92
2020-05-25 15:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20112,0,40098,-19986,28870.56
2020-05-25 15:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18960,0,40054,-21094,28838.88
2020-05-25 15:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18960,0,39932,-20972,28751.04
2020-05-25 15:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,19536,0,41904,-22368,30170.88
2020-05-25 15:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,19968,0,37194,-17226,26779.68
2020-05-25 16:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17568,0,34950,-17382,25164
2020-05-25 16:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16320,0,31095,-14775,22388.4
2020-05-25 16:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14928,0,33965,-19037,24454.8
2020-05-25 16:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16272,0,32983,-16711,23747.76
2020-05-25 16:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15600,0,31930,-16330,22989.6
2020-05-25 16:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15264,0,31150,-15886,22428
2020-05-25 16:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15456,0,34888,-19432,25119.36
