"PVWatts: Hourly PV Performance Data"
"Requested Location:","20.01, -155.66"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","900"
"Module Type:","Premium"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.260"
"Capacity Factor (%)","16.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","24","1","0","0","18","3","0","18","0","0"
"7","24","2","0","0","18","3","0","18","0","0"
"7","24","3","0","0","17","3","0","17","0","0"
"7","24","4","0","0","17","3","0","17","0","0"
"7","24","5","0","0","17","3","0","17","0","0"
"7","24","6","373","33","18","3","28.115","17.024","22347.588","17343.676"
"7","24","7","684","63","19","4","232.266","22.711","153687.641","145844"
"7","24","8","816","78","20","4","469.646","29.288","343409.5","330205.656"
"7","24","9","111","348","21","4","406.148","29.408","308548.219","296440.813"
"7","24","10","80","418","22","5","466.943","30.548","353922.375","340378"
"7","24","11","37","411","23","5","430.286","30.948","325785.656","313142.375"
"7","24","12","320","483","23","5","775.282","37.552","573087.688","551404.938"
"7","24","13","40","419","23","5","440.627","31.646","332781.125","319916.875"
"7","24","14","43","377","23","5","396.997","30.259","301258.25","289373.781"
"7","24","15","106","344","22","5","398.269","29.199","302778.313","290847.563"
"7","24","16","186","242","21","5","316.412","26.594","239905.875","229810.656"
"7","24","17","136","134","20","5","156.969","22.329","116969.195","109991.227"
"7","24","18","0","34","19","5","31.618","18.589","24997.771","19943.605"
"7","24","19","0","0","19","5","0","19","0","0"
"7","24","20","0","0","19","4","0","19","0","0"
"7","24","21","0","0","19","4","0","19","0","0"
"7","24","22","0","0","19","4","0","19","0","0"
"7","24","23","0","0","19","4","0","19","0","0"
"7","25","0","0","0","18","4","0","18","0","0"
"7","25","1","0","0","18","4","0","18","0","0"
"7","25","2","0","0","18","4","0","18","0","0"
"7","25","3","0","0","18","4","0","18","0","0"
"7","25","4","0","0","18","4","0","18","0","0"
"7","25","5","0","0","18","4","0","18","0","0"
"7","25","6","219","39","19","4","31.968","18.235","25305.869","20245.842"
"7","25","7","263","127","19","5","183.859","21.372","133419.188","126060.281"
"7","25","8","347","219","20","5","374.961","26.372","282427.656","271108.875"
"7","25","9","129","351","21","6","423.212","27.834","323233","310669.844"
"7","25","10","312","413","22","6","658.745","33.041","494508.594","475971.969"
"7","25","11","420","424","22","6","802.275","35.852","596610","573935.875"
"7","25","12","224","511","23","6","709.841","35.434","528802.438","508924.156"
"7","25","13","136","493","23","6","603.083","33.449","452489.813","435530.844"
"7","25","14","153","437","23","6","547.369","32.336","412118.844","396606.938"
"7","25","15","65","327","22","5","355.04","28.603","270675.063","259701.938"
"7","25","16","63","231","21","5","247.594","25.18","190183.438","181424.203"
"7","25","17","5","114","20","5","108.023","21.256","84421.828","78164.617"
"7","25","18","271","37","20","5","28.928","19.473","22802.365","17789.85"
"7","25","19","0","0","19","5","0","19","0","0"
"7","25","20","0","0","19","5","0","19","0","0"
"7","25","21","0","0","19","5","0","19","0","0"
"7","25","22","0","0","19","4","0","19","0","0"
"7","25","23","0","0","18","4","0","18","0","0"
"7","26","0","0","0","18","3","0","18","0","0"
"7","26","1","0","0","18","3","0","18","0","0"
"7","26","2","0","0","18","3","0","18","0","0"
"7","26","3","0","0","18","3","0","18","0","0"
"7","26","4","0","0","18","3","0","18","0","0"
"7","26","5","0","0","18","3","0","18","0","0"
"7","26","6","306","36","19","4","30.632","18.205","24250.48","19210.514"
"7","26","7","631","72","20","4","226.591","23.604","150952.516","143175.281"
"7","26","8","777","88","21","5","461.02","29.129","337793.281","324769.469"
"7","26","9","60","325","22","5","350.439","28.373","267427.313","256548.703"
"7","26","10","872","116","23","5","836.395","38.599","614493.063","591049.938"
"7","26","11","914","105","23","5","944.846","41.444","688144.125","661394.625"
"7","26","12","909","113","23","5","974.239","42.175","707851.25","680179"
"7","26","13","391","428","23","5","777.642","38.461","572807.438","551136.375"
"7","26","14","265","424","23","5","629.851","35.307","469003.156","451432.875"
"7","26","15","278","334","23","5","508.306","32.722","380726.969","366293.75"
"7","26","16","144","243","22","5","298.001","27.429","225866.25","216158.594"
"7","26","17","0","109","21","5","102.283","22.244","79856.313","73696.703"
"7","26","18","278","34","21","5","27.117","20.447","21303.049","16318.864"
"7","26","19","0","0","20","5","0","20","0","0"
"7","26","20","0","0","20","4","0","20","0","0"
"7","26","21","0","0","20","4","0","20","0","0"
"7","26","22","0","0","20","4","0","20","0","0"
"7","26","23","0","0","20","4","0","20","0","0"
"7","27","0","0","0","20","3","0","20","0","0"
"7","27","1","0","0","20","3","0","20","0","0"
"7","27","2","0","0","19","3","0","19","0","0"
"7","27","3","0","0","19","3","0","19","0","0"
"7","27","4","0","0","19","3","0","19","0","0"
"7","27","5","0","0","19","3","0","19","0","0"
"7","27","6","317","35","20","4","29.987","19.271","23653.441","18624.803"
"7","27","7","642","69","21","4","226.871","24.622","150220.469","142460.953"
"7","27","8","789","84","21","4","463.509","30.145","338300.313","325260.281"
"7","27","9","856","98","22","4","678.784","36.186","499367.375","480643.625"
"7","27","10","893","107","23","4","846.187","41.087","616002.75","592494.125"
"7","27","11","890","128","24","4","945.911","44.441","681274.313","654842.688"
"7","27","12","901","126","25","4","980.096","46.301","701178.063","673820.063"
"7","27","13","896","122","25","4","943.845","45.623","676746.75","650523.563"
"7","27","14","59","399","24","4","431.856","33.904","323431.875","310862.469"
"7","27","15","828","108","24","4","664.471","37.803","485820.563","467616.094"
"7","27","16","753","94","23","4","450.267","32.742","325375.75","312745.375"
"7","27","17","279","121","22","4","180.259","25.494","127917.734","120687.477"
"7","27","18","268","35","21","4","28.36","20.583","22269.371","17266.938"
"7","27","19","0","0","21","4","0","21","0","0"
"7","27","20","0","0","21","4","0","21","0","0"
"7","27","21","0","0","20","4","0","20","0","0"
"7","27","22","0","0","20","3","0","20","0","0"
"7","27","23","0","0","20","3","0","20","0","0"
"7","28","0","0","0","20","3","0","20","0","0"
"7","28","1","0","0","20","3","0","20","0","0"
"7","28","2","0","0","20","3","0","20","0","0"
"7","28","3","0","0","20","3","0","20","0","0"
"7","28","4","0","0","19","3","0","19","0","0"
"7","28","5","0","0","19","3","0","19","0","0"
"7","28","6","377","30","20","3","26.192","19.101","20671.713","15699.43"
"7","28","7","691","55","21","3","227.632","24.972","148712.703","140989.625"
"7","28","8","830","62","22","3","463.146","32.036","335090.219","322152.563"
"7","28","9","887","72","23","3","675.108","38.474","492353.375","473899.438"
"7","28","10","919","79","24","3","841.448","43.697","606592","583490.25"
"7","28","11","939","82","25","3","948.156","47.412","675258.938","649104.063"
"7","28","12","942","86","25","3","982.756","48.412","697467.188","670283.125"
"7","28","13","932","88","25","4","945.488","45.662","677819.563","651547.063"
"7","28","14","913","84","25","4","837.432","43.372","604363.5","581357.563"
"7","28","15","11","226","24","3","222.191","29.908","168796.906","160580.891"
"7","28","16","0","151","23","3","143.055","25.484","110434.125","103604.383"
"7","28","17","0","90","22","3","84.923","22.868","66159.211","60287.258"
"7","28","18","356","28","22","3","22.446","21.21","17587.662","12673.282"
"7","28","19","0","0","21","3","0","21","0","0"
"7","28","20","0","0","21","3","0","21","0","0"
"7","28","21","0","0","21","3","0","21","0","0"
"7","28","22","0","0","21","2","0","21","0","0"
"7","28","23","0","0","21","2","0","21","0","0"
"7","29","0","0","0","21","2","0","21","0","0"
"7","29","1","0","0","21","2","0","21","0","0"
"7","29","2","0","0","21","1","0","21","0","0"
"7","29","3","0","0","21","1","0","21","0","0"
"7","29","4","0","0","21","1","0","21","0","0"
"7","29","5","0","0","21","1","0","21","0","0"
"7","29","6","390","28","21","1","24.938","19.686","19642.852","14689.931"
"7","29","7","695","54","22","1","228.09","27.32","147715.578","140016.547"
"7","29","8","832","61","23","1","463.832","36.5","330249.031","317465"
"7","29","9","891","70","24","1","676.818","44.652","482424.219","464348.781"
"7","29","10","923","78","25","0","844.973","56.86","579124.375","557189.375"
"7","29","11","912","104","26","0","945.894","61.511","637596.813","613140.625"
"7","29","12","913","108","26","1","977.383","56.593","672030.75","646023.75"
"7","29","13","904","108","26","1","940.296","55.723","648529.438","623586.188"
"7","29","14","879","105","25","1","831.026","51.724","581066","559049.563"
"7","29","15","411","294","24","1","563.417","42.929","405941.969","390645.531"
"7","29","16","79","234","24","2","258.48","31.059","194233.828","185369.578"
"7","29","17","20","120","23","2","117.161","25.304","89696.547","83325.5"
"7","29","18","295","31","22","2","25.27","21.307","19793.607","14837.852"
"7","29","19","0","0","22","2","0","22","0","0"
"7","29","20","0","0","21","3","0","21","0","0"
"7","29","21","0","0","21","3","0","21","0","0"
"7","29","22","0","0","21","3","0","21","0","0"
"7","29","23","0","0","21","3","0","21","0","0"
"7","30","0","0","0","21","2","0","21","0","0"
"7","30","1","0","0","21","2","0","21","0","0"
"7","30","2","0","0","21","2","0","21","0","0"
"7","30","3","0","0","20","2","0","20","0","0"
"7","30","4","0","0","20","2","0","20","0","0"
"7","30","5","0","0","20","2","0","20","0","0"
"7","30","6","407","29","21","3","26.474","20.125","17920.496","12999.887"
"7","30","7","716","55","22","3","234.833","26.159","152721.359","144901.219"
"7","30","8","831","72","23","3","474.993","33.328","342519.438","329344.219"
"7","30","9","893","83","24","2","692.143","41.884","498618.344","479923.5"
"7","30","10","926","91","25","2","861.538","47.662","611914.563","588583.125"
"7","30","11","34","403","26","1","421.111","40.911","307487.75","295412.906"
"7","30","12","413","449","26","1","836.467","50.855","588206.938","565889.625"
"7","30","13","73","465","26","1","517.039","43.559","373812.5","359611.438"
"7","30","14","878","113","26","1","838.987","51.289","587649.063","565355.313"
"7","30","15","827","107","25","1","665.183","46.781","470431.625","452807.906"
"7","30","16","5","170","24","1","163.283","30.389","123793.398","116658.766"
"7","30","17","0","47","23","1","44.591","23.144","34705.293","29464.566"
"7","30","18","237","35","22","1","28.504","20.959","22352.951","17348.939"
"7","30","19","0","0","22","2","0","22","0","0"
"7","30","20","0","0","22","2","0","22","0","0"
"7","30","21","0","0","21","2","0","21","0","0"
"7","30","22","0","0","21","2","0","21","0","0"
"7","30","23","0","0","21","2","0","21","0","0"
"7","31","0","0","0","21","2","0","21","0","0"
"7","31","1","0","0","21","1","0","21","0","0"
"7","31","2","0","0","21","1","0","21","0","0"
"7","31","3","0","0","21","1","0","21","0","0"
"7","31","4","0","0","20","1","0","20","0","0"
"7","31","5","0","0","20","2","0","20","0","0"
"7","31","6","343","31","21","2","28.081","20.049","19417.473","14468.787"
"7","31","7","677","59","22","2","229.32","26.531","149846.703","142096.234"
"7","31","8","808","75","23","2","467.617","34.448","336063.844","323095.188"
"7","31","9","875","85","24","2","682.945","41.632","492523.625","474063.156"
"7","31","10","913","92","25","2","852.986","47.427","606407.063","583313.25"
"7","31","11","930","97","25","1","958.469","54.823","663429","637814"
"7","31","12","250","506","26","1","733.834","50.089","517581.344","498147.406"
"7","31","13","185","495","26","1","653.219","46.989","466167.344","448702.813"
"7","31","14","897","100","25","1","843.086","50.97","591238.438","568792.688"
"7","31","15","857","92","24","1","671.514","46.021","476175.25","458335.969"
"7","31","16","783","82","23","2","454.703","35.484","325070.344","312449.531"
"7","31","17","649","63","22","2","218.116","27.634","141215.938","133672.594"
"7","31","18","318","30","21","2","25.111","20.622","19715.559","14761.271"
"7","31","19","0","0","21","3","0","21","0","0"
"7","31","20","0","0","21","3","0","21","0","0"
"7","31","21","0","0","21","4","0","21","0","0"
"7","31","22","0","0","20","4","0","20","0","0"
"7","31","23","0","0","20","3","0","20","0","0"
"8","1","0","0","0","20","3","0","20","0","0"
"8","1","1","0","0","20","3","0","20","0","0"
"8","1","2","0","0","20","3","0","20","0","0"
"8","1","3","0","0","20","3","0","20","0","0"
"8","1","4","0","0","19","3","0","19","0","0"
"8","1","5","0","0","19","3","0","19","0","0"
"8","1","6","397","29","20","3","27.358","19.121","18215.256","13289.125"
"8","1","7","709","57","21","3","236.027","25.175","154524.328","146660.328"
"8","1","8","181","243","22","4","318.792","28.054","240781.484","230661.828"
"8","1","9","896","83","23","4","696.379","37.262","510385.938","491234.188"
"8","1","10","931","91","24","4","868.285","42.558","628719.063","604654.75"
"8","1","11","948","96","25","4","975.576","46.063","698396.563","671169"
"8","1","12","951","98","25","4","1008.443","46.935","719760.938","691523.25"
