"PVWatts: Hourly PV Performance Data"
"Requested Location:","67-1125 Mamalahoa Hwy, Waimea, HI 96743, United States"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","700"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.260"
"Capacity Factor (%)","16.4"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","2","1","0","0","19","4","0","19","0","0"
"10","2","2","0","0","19","4","0","19","0","0"
"10","2","3","0","0","19","4","0","19","0","0"
"10","2","4","0","0","19","4","0","19","0","0"
"10","2","5","0","0","19","4","0","19","0","0"
"10","2","6","152","20","19","5","41.026","18.514","19814.895","15876.794"
"10","2","7","605","66","20","6","278.008","23.828","150217.016","143344.781"
"10","2","8","136","225","21","6","305.972","25.645","181855.391","174135.125"
"10","2","9","45","293","21","7","326.536","25.575","195708.5","187600.172"
"10","2","10","100","394","22","7","487.002","29.19","287071.625","276148.719"
"10","2","11","916","115","23","6","1028.968","40.588","573477.875","550858.313"
"10","2","12","130","468","23","6","613.924","34.051","353530.438","340281.594"
"10","2","13","109","429","23","6","536.021","32.151","311519.375","299768.125"
"10","2","14","27","293","23","6","314.266","28.158","186156.109","178316.469"
"10","2","15","167","268","22","6","381.535","28.037","224942.688","215981.984"
"10","2","16","592","97","21","5","362.832","27.471","202995.234","194678.703"
"10","2","17","236","51","21","5","98.484","22.276","50858.938","46304.246"
"10","2","18","0","0","21","5","0","21","0","0"
"10","2","19","0","0","20","5","0","20","0","0"
"10","2","20","0","0","20","5","0","20","0","0"
"10","2","21","0","0","20","5","0","20","0","0"
"10","2","22","0","0","20","5","0","20","0","0"
"10","2","23","0","0","20","5","0","20","0","0"
"10","3","0","0","0","20","5","0","20","0","0"
"10","3","1","0","0","20","5","0","20","0","0"
"10","3","2","0","0","20","5","0","20","0","0"
"10","3","3","0","0","20","5","0","20","0","0"
"10","3","4","0","0","20","5","0","20","0","0"
"10","3","5","0","0","20","5","0","20","0","0"
"10","3","6","102","20","20","5","35.337","19.421","18042.209","14137.772"
"10","3","7","338","97","21","6","218.484","23.786","122177.797","116012.695"
"10","3","8","13","178","21","6","179.282","23.335","108516.734","102681.023"
"10","3","9","4","183","22","7","179.038","24.08","108132.672","102306.086"
"10","3","10","7","182","23","6","181.286","25.351","108848.031","103004.453"
"10","3","11","351","426","23","6","795.74","36.135","453525.094","436334.563"
"10","3","12","23","344","24","6","358.403","30.287","210201.594","201676.391"
"10","3","13","26","335","24","5","360.024","30.423","211006.125","202457.453"
"10","3","14","96","355","24","5","435.615","31.893","253329.75","243497.938"
"10","3","15","15","205","23","4","207.921","27.076","123717.867","117515.008"
"10","3","16","0","60","22","4","56.965","22.293","34697.238","30469.938"
"10","3","17","113","50","22","4","72.981","22.326","40073.367","35738.699"
"10","3","18","0","0","21","4","0","21","0","0"
"10","3","19","0","0","21","4","0","21","0","0"
"10","3","20","0","0","21","5","0","21","0","0"
"10","3","21","0","0","21","5","0","21","0","0"
"10","3","22","0","0","21","4","0","21","0","0"
"10","3","23","0","0","21","4","0","21","0","0"
"10","4","0","0","0","21","3","0","21","0","0"
"10","4","1","0","0","21","3","0","21","0","0"
"10","4","2","0","0","21","3","0","21","0","0"
"10","4","3","0","0","21","2","0","21","0","0"
"10","4","4","0","0","21","2","0","21","0","0"
"10","4","5","0","0","21","3","0","21","0","0"
"10","4","6","0","21","21","3","19.912","19.9","12262.985","8467.139"
"10","4","7","225","108","21","3","188.66","24.024","107373.922","101565.313"
"10","4","8","684","108","22","4","512.581","32.117","290187.25","279160.531"
"10","4","9","766","131","22","3","733.045","38.925","409609.781","394215.75"
"10","4","10","366","349","23","3","699.03","39.65","391259.375","376585.688"
"10","4","11","467","377","23","3","867.354","43.359","476625.25","458448.656"
"10","4","12","461","386","23","3","877.081","43.96","480497.594","462152.906"
"10","4","13","402","375","23","2","774.565","44.133","423854.344","407888.844"
"10","4","14","331","337","23","2","625.864","40.135","349046.656","335962.125"
"10","4","15","65","250","22","2","291.31","30.115","170502.703","163092.859"
"10","4","16","314","138","22","2","277.981","28.687","157527.984","150464.531"
"10","4","17","51","48","22","2","58.039","22.749","33306.703","29106.92"
"10","4","18","0","0","21","2","0","21","0","0"
"10","4","19","0","0","21","2","0","21","0","0"
"10","4","20","0","0","21","2","0","21","0","0"
"10","4","21","0","0","21","2","0","21","0","0"
"10","4","22","0","0","21","2","0","21","0","0"
