Date / Time           ,KWH(ch: 1  set:0)    
2016/07/07 11:30,130.21
2016/07/07 11:45,128.4
2016/07/07 12:00,128.88
2016/07/07 12:15,131.09
2016/07/07 12:30,133.3
2016/07/07 12:45,128.79
2016/07/07 13:00,129.65
2016/07/07 13:15,129.67
2016/07/07 13:30,129.84
2016/07/07 13:45,128.94
2016/07/07 14:00,132.76
2016/07/07 14:15,131.98
2016/07/07 14:30,128.25
2016/07/07 14:45,129.42
2016/07/07 15:00,126.28
2016/07/07 15:15,123.81
2016/07/07 15:30,123.31
2016/07/07 15:45,124.79
2016/07/07 16:00,123.96
2016/07/07 16:15,121.75
2016/07/07 16:30,122.26
2016/07/07 16:45,119.9
2016/07/07 17:00,117.61
2016/07/07 17:15,115.89
2016/07/07 17:30,116.1
2016/07/07 17:45,114.09
2016/07/07 18:00,114.31
2016/07/07 18:15,110.01
2016/07/07 18:30,112.29
2016/07/07 18:45,116.15
2016/07/07 19:00,110.42
2016/07/07 19:15,109.05
2016/07/07 19:30,108.78
2016/07/07 19:45,109.57
2016/07/07 20:00,107.1
2016/07/07 20:15,106.31
2016/07/07 20:30,104.43
2016/07/07 20:45,104.73
2016/07/07 21:00,102.92
2016/07/07 21:15,102.16
2016/07/07 21:30,101.67
2016/07/07 21:45,101.43
2016/07/07 22:00,102.45
2016/07/07 22:15,103.2
2016/07/07 22:30,102.06
2016/07/07 22:45,101.25
2016/07/07 23:00,101
2016/07/07 23:15,101.24
2016/07/07 23:30,101.27
2016/07/07 23:45,100.77
2016/07/08 0:00,100.37
2016/07/08 0:15,100.8
2016/07/08 0:30,100.69
2016/07/08 0:45,99.75
2016/07/08 1:00,98.77
2016/07/08 1:15,99.49
2016/07/08 1:30,100.04
2016/07/08 1:45,98.81
2016/07/08 2:00,98.67
2016/07/08 2:15,99.06
2016/07/08 2:30,99.98
2016/07/08 2:45,98.79
2016/07/08 3:00,98.24
2016/07/08 3:15,99.2
2016/07/08 3:30,99.21
2016/07/08 3:45,98.79
2016/07/08 4:00,98.13
2016/07/08 4:15,98.03
2016/07/08 4:30,100.08
2016/07/08 4:45,99.86
2016/07/08 5:00,100.24
2016/07/08 5:15,100.85
2016/07/08 5:30,100.66
2016/07/08 5:45,103.38
2016/07/08 6:00,105.46
2016/07/08 6:15,115.54
2016/07/08 6:30,113.8
2016/07/08 6:45,111.44
2016/07/08 7:00,118.66
2016/07/08 7:15,118.64
2016/07/08 7:30,119.32
2016/07/08 7:45,119.81
2016/07/08 8:00,121.93
2016/07/08 8:15,122.61
2016/07/08 8:30,123.95
2016/07/08 8:45,126.54
2016/07/08 9:00,128.56
2016/07/08 9:15,127.21
2016/07/08 9:30,120.09
2016/07/08 9:45,121.61
2016/07/08 10:00,121.65
2016/07/08 10:15,120.47
2016/07/08 10:30,120.65
2016/07/08 10:45,122.69
2016/07/08 11:00,125.74
2016/07/08 11:15,121.4
2016/07/08 11:30,123.8
2016/07/08 11:45,124.45
2016/07/08 12:00,124.12
2016/07/08 12:15,123.77
2016/07/08 12:30,122.53
2016/07/08 12:45,124.16
2016/07/08 13:00,123.64
2016/07/08 13:15,123.6
2016/07/08 13:30,126.12
2016/07/08 13:45,122.74
2016/07/08 14:00,121.72
2016/07/08 14:15,123.95
2016/07/08 14:30,121.72
2016/07/08 14:45,120.73
2016/07/08 15:00,120.82
2016/07/08 15:15,120
2016/07/08 15:30,120.83
2016/07/08 15:45,120.4
2016/07/08 16:00,121.99
2016/07/08 16:15,120.81
2016/07/08 16:30,120.46
2016/07/08 16:45,118.54
2016/07/08 17:00,119.1
2016/07/08 17:15,115.91
2016/07/08 17:30,113.97
2016/07/08 17:45,111.46
2016/07/08 18:00,111.86
2016/07/08 18:15,105.86
2016/07/08 18:30,107.69
2016/07/08 18:45,105.75
2016/07/08 19:00,104.86
2016/07/08 19:15,103.95
2016/07/08 19:30,103.56
2016/07/08 19:45,102.93
2016/07/08 20:00,102.4
2016/07/08 20:15,103.11
2016/07/08 20:30,102.52
2016/07/08 20:45,100.82
2016/07/08 21:00,100.42
2016/07/08 21:15,101.95
2016/07/08 21:30,100.01
2016/07/08 21:45,99.82
2016/07/08 22:00,99.3
2016/07/08 22:15,99.25
2016/07/08 22:30,99.73
2016/07/08 22:45,98.72
2016/07/08 23:00,99.16
2016/07/08 23:15,100.06
2016/07/08 23:30,99.1
2016/07/08 23:45,98.85
2016/07/09 0:00,99.7
2016/07/09 0:15,100.08
2016/07/09 0:30,98.67
2016/07/09 0:45,98.21
2016/07/09 1:00,98.18
2016/07/09 1:15,98.61
2016/07/09 1:30,98.84
2016/07/09 1:45,97.89
2016/07/09 2:00,98.38
2016/07/09 2:15,99.32
2016/07/09 2:30,98.57
2016/07/09 2:45,97.39
2016/07/09 3:00,97.34
2016/07/09 3:15,96.97
2016/07/09 3:30,97.15
2016/07/09 3:45,96.31
2016/07/09 4:00,96.5
2016/07/09 4:15,93.39
2016/07/09 4:30,98.16
2016/07/09 4:45,98.46
2016/07/09 5:00,97.55
2016/07/09 5:15,98.06
2016/07/09 5:30,98.16
2016/07/09 5:45,99.67
2016/07/09 6:00,99.99
2016/07/09 6:15,108.16
2016/07/09 6:30,105.9
2016/07/09 6:45,103.08
2016/07/09 7:00,103.51
2016/07/09 7:15,105.01
2016/07/09 7:30,106.19
2016/07/09 7:45,106.21
2016/07/09 8:00,106.14
2016/07/09 8:15,107.6
2016/07/09 8:30,107.91
2016/07/09 8:45,112.71
2016/07/09 9:00,111.2
2016/07/09 9:15,111.26
2016/07/09 9:30,113.86
2016/07/09 9:45,113.94
2016/07/09 10:00,116.25
2016/07/09 10:15,116.02
2016/07/09 10:30,113.93
2016/07/09 10:45,112.64
2016/07/09 11:00,112.24
2016/07/09 11:15,114.2
2016/07/09 11:30,114.82
2016/07/09 11:45,116.72
2016/07/09 12:00,113.52
2016/07/09 12:15,111.04
2016/07/09 12:30,110.21
2016/07/09 12:45,109.84
2016/07/09 13:00,109.94
2016/07/09 13:15,111.92
2016/07/09 13:30,113.97
2016/07/09 13:45,111.96
2016/07/09 14:00,110.61
2016/07/09 14:15,109.69
2016/07/09 14:30,110.89
2016/07/09 14:45,108.96
2016/07/09 15:00,109.83
2016/07/09 15:15,108
2016/07/09 15:30,108.52
2016/07/09 15:45,109.47
2016/07/09 16:00,108.2
2016/07/09 16:15,107.85
2016/07/09 16:30,108.88
2016/07/09 16:45,108.41
2016/07/09 17:00,108.4
2016/07/09 17:15,107.3
2016/07/09 17:30,105.98
2016/07/09 17:45,104.18
2016/07/09 18:00,109.28
2016/07/09 18:15,100.78
2016/07/09 18:30,100.9
2016/07/09 18:45,100.71
2016/07/09 19:00,99.79
2016/07/09 19:15,99.33
2016/07/09 19:30,101.07
2016/07/09 19:45,101.02
2016/07/09 20:00,99.47
2016/07/09 20:15,99.37
2016/07/09 20:30,100.41
2016/07/09 20:45,99.19
2016/07/09 21:00,99.62
2016/07/09 21:15,99.58
2016/07/09 21:30,99.1
2016/07/09 21:45,99.11
2016/07/09 22:00,99.5
2016/07/09 22:15,98.81
2016/07/09 22:30,98.22
2016/07/09 22:45,98.32
2016/07/09 23:00,98.41
2016/07/09 23:15,97.95
2016/07/09 23:30,98.54
2016/07/09 23:45,98.43
2016/07/10 0:00,98.3
2016/07/10 0:15,106.77
2016/07/10 0:30,103.52
2016/07/10 0:45,102.87
2016/07/10 1:00,102.65
2016/07/10 1:15,101.3
2016/07/10 1:30,101.44
2016/07/10 1:45,101.22
2016/07/10 2:00,101.09
2016/07/10 2:15,100.67
2016/07/10 2:30,100.53
2016/07/10 2:45,100.05
2016/07/10 3:00,101.1
2016/07/10 3:15,101.17
2016/07/10 3:30,100.46
